id,key,value,type
25038483,source,Yahoo imaery,regular
25038494,source,Yahoo imaery,regular
25038510,source,Yahoo imaery,regular
25038524,source,Yahoo imaery,regular
25038577,source,Yahoo imagery,regular
25038597,source,Yahoo imagery,regular
25038609,source,Yahoo imagery,regular
38634766,highway,speed_camera,regular
38634766,maxspeed,40,regular
97337917,created_by,JOSM,regular
97338373,created_by,JOSM,regular
97341153,created_by,JOSM,regular
97346126,created_by,JOSM,regular
97351504,created_by,JOSM,regular
97351621,created_by,JOSM,regular
97396778,created_by,JOSM,regular
97397201,created_by,JOSM,regular
97399331,created_by,JOSM,regular
97400171,created_by,JOSM,regular
97401882,created_by,JOSM,regular
97402858,created_by,JOSM,regular
97407209,created_by,JOSM,regular
97408777,created_by,JOSM,regular
101521332,highway,traffic_signals,regular
133161054,source,Bing,regular
142165424,highway,traffic_signals,regular
144302280,highway,speed_camera,regular
144302280,maxspeed,90,regular
146325038,highway,bus_stop,regular
146396109,ele,238,regular
146396109,name,Morro da Babilônia,regular
146396109,natural,peak,regular
146396109,wikipedia,pt:Morro da Babilônia,regular
146905889,ref,183,regular
146905889,name,Comendador Soares / Cacuia,regular
146905889,highway,motorway_junction,regular
148208484,access,private,regular
148208484,barrier,gate,regular
149300658,foot,yes,regular
149300658,barrier,gate,regular
149300658,bicycle,no,regular
149338902,source,Bing,regular
149338902,highway,traffic_signals,regular
158798842,highway,traffic_signals,regular
161889882,highway,traffic_signals,regular
161889882,crossing,traffic_signals,regular
162015075,barrier,toll_booth,regular
163559185,ref,5,regular
163559185,exit_to,Avenida Pastor Martin Luther King Junior / Del Castilho / Shopping Nova América / Inhaúma,regular
163559185,highway,motorway_junction,regular
163559220,ref,9A,regular
163559220,exit_to,Avenida Brasil / Centro / Copacabana,regular
163559220,highway,motorway_junction,regular
164196766,ref,316,regular
164196766,name,Gradim,regular
164196766,highway,motorway_junction,regular
164196766,pt,Gradim,name
171627855,source,Bing,regular
171627855,highway,traffic_signals,regular
218219907,source,survey,regular
218219907,highway,traffic_signals,regular
218423506,source,survey,regular
218423506,highway,crossing,regular
218423506,crossing,traffic_signals,regular
218472300,highway,traffic_signals,regular
218480115,highway,stop,regular
218524153,source,Bing; survey,regular
218524153,highway,traffic_signals,regular
218524153,crossing,traffic_signals,regular
259288855,created_by,JOSM,regular
259288922,created_by,JOSM,regular
259651868,railway,level_crossing,regular
259653319,highway,crossing,regular
260426552,created_by,JOSM,regular
277595298,exit_to,Aeroporto,regular
277595298,highway,motorway_junction,regular
277645780,highway,traffic_signals,regular
278080169,highway,traffic_signals,regular
299626114,name,Laranjal,regular
299626114,is_in,São Gonçalo,regular
299626114,place,suburb,regular
301666576,name,Morro do Cruzeiro,regular
301666576,natural,peak,regular
301666576,created_by,Potlatch 0.10d,regular
301668623,highway,crossing,regular
320596477,source,survey,regular
320596477,traffic_calming,table,regular
320613994,barrier,gate,regular
320613994,motorcar,yes,regular
320627485,name,Fortaleza de Santa Cruz da Barra,regular
320627485,historic,castle,regular
320627485,site_type,fortification,regular
320641257,natural,peak,regular
320641257,created_by,Potlatch 0.10f,regular
320649068,highway,turning_circle,regular
320686314,barrier,gate,regular
320753002,natural,peak,regular
320871020,hgv,yes,regular
320871020,foot,yes,regular
320871020,goods,yes,regular
320871020,access,no,regular
320871020,barrier,gate,regular
320871020,motorcar,yes,regular
320910299,name,Morro do Abacate,regular
320910299,natural,peak,regular
321221465,aeroway,helipad,regular
322765863,name,Hotel Fagundes Varela,regular
322765863,tourism,hotel,regular
322765863,created_by,Potlatch 0.10f,regular
322855022,highway,traffic_signals,regular
322855447,highway,traffic_signals,regular
330948248,leisure,playground,regular
331377560,source,survey,regular
331377560,amenity,cafe,regular
331377560,cuisine,coffee_shop,regular
331391051,source,Bing,regular
331391051,highway,traffic_signals,regular
331391051,crossing,traffic_signals,regular
331879141,railway,level_crossing,regular
331879940,railway,level_crossing,regular
331880858,source,Bing,regular
331880858,railway,level_crossing,regular
331880873,railway,level_crossing,regular
331881301,railway,level_crossing,regular
331881884,railway,level_crossing,regular
331882851,railway,level_crossing,regular
331884981,railway,level_crossing,regular
331884991,railway,level_crossing,regular
332153100,name,Bob's,regular
332153100,amenity,fast_food,regular
332153100,created_by,Potlatch 0.10f,regular
332239863,name,Petrobras,regular
332239863,source,Bing,regular
332239863,amenity,fuel,regular
332240016,name,Petrobras,regular
332240016,source,Bing,regular
332240016,amenity,fuel,regular
332516400,name,Claudia Tecidos,regular
332516808,name,IV Juizado Especial Cível,regular
332516808,amenity,public_building,regular
332516808,created_by,Potlatch 0.10f,regular
332517565,name,Papelaria Jardim Largo do Machado,regular
332517565,created_by,Potlatch 0.10f,regular
332517662,name,Eletrônica Vitória,regular
332517662,shop,electronics,regular
332517662,created_by,Potlatch 0.10f,regular
332517972,source,Yahoo,regular
332517972,ru,Памятник 400-летия открытия Бразилии,name
332517972,tourism,artwork,regular
332517972,historic,monument,regular
332517972,artwork_type,statue,regular
332518715,name,Promoinfo Centro,regular
332518715,shop,computer,regular
332518715,website,http://www.promoinfo.com.br/,regular
335419101,name,Dental Express,regular
335419101,amenity,doctors,regular
335419101,street,Rua Presidente Backer,addr
335419101,housenumber,185,addr
335949955,name,Igreja de Nossa Senhora do Sagrado Coração,regular
335949955,amenity,place_of_worship,regular
335949955,religion,christian,regular
336093539,barrier,gate,regular
336093539,railway,subway_entrance,regular
336150064,highway,turning_circle,regular
336150128,highway,traffic_signals,regular
337694996,natural,peak,regular
337694996,created_by,Potlatch 0.10f,regular
338172417,railway,level_crossing,regular
338513871,name,Casa Lotérica,regular
338515459,name,Itaguaí,regular
338515459,place,city,regular
338515459,census,2010,regular
338515459,source,IBGE,regular
338515459,wikidata,Q730437,regular
338515459,population,100362,regular
338515459,state,Rio de Janeiro,is_in
338515459,country,Brasil,is_in
338515459,continent,South America,is_in
338515459,state_code,RJ,is_in
338515496,name,Queimados,regular
338515496,place,city,regular
338515496,census,2010,regular
338515496,source,IBGE,regular
338515496,wikidata,Q1800756,regular
338515496,population,137938,regular
338643128,highway,traffic_signals,regular
338643162,highway,traffic_signals,regular
338845470,ele,1700,regular
338845470,name,Nariz da Mulher de Pedra,regular
338845470,source,IBGE,regular
338845470,natural,peak,regular
339016027,source,Bing,regular
339016027,highway,crossing,regular
339016027,crossing,traffic_signals,regular
340459666,amenity,pub,regular
340459666,street,Rua Pedro Américo,addr
340459666,postcode,22211-200,addr
340463777,amenity,dentist,regular
340463777,created_by,Potlatch 0.10f,regular
340465220,amenity,dentist,regular
340465220,created_by,Potlatch 0.10f,regular
340465220,street,Rua Do Catete,addr
340465220,postcode,22220-000,addr
340473465,name,Papelaria Catete,regular
340473465,shop,stationery,regular
340473465,street,Rua Do Catete,addr
340473465,postcode,22220-000,addr
343000681,source,Bing,regular
343000681,highway,crossing,regular
343000681,crossing,traffic_signals,regular
343079038,highway,traffic_signals,regular
343081469,source,Bing; survey,regular
343081469,highway,traffic_signals,regular
343086530,source,Bing,regular
343086530,highway,traffic_signals,regular
344024295,amenity,pharmacy,regular
344369368,name,Pizzaria Al Capone,regular
344369368,amenity,fast_food,regular
344369368,cuisine,pizza,regular
344370978,barrier,gate,regular
344562455,name,Tasca do Edgar,regular
344562455,amenity,pub,regular
345952581,name,Subway,regular
345952581,amenity,fast_food,regular
345952581,city,Rio de Janeiro,addr
345952581,street,Rua Das Laranjeiras,addr
345952581,country,BR,addr
345952581,postcode,22240-004,addr
345952581,housenumber,371E,addr
345962045,name,Hatano Presentes,regular
345962045,shop,gift,regular
345962045,created_by,Potlatch 0.10f,regular
345962045,postcode,22240-004,addr
345969751,name,Drogaria Wilson,regular
345969751,amenity,pharmacy,regular
345969751,created_by,Potlatch 0.10f,regular
345969751,postcode,22240-004,addr
346039846,crossing,traffic_signals,regular
346039846,highway,traffic_signals,regular
346049225,highway,traffic_signals,regular
346049225,crossing,traffic_signals,regular
346243972,name,Droga Raia,regular
346243972,amenity,pharmacy,regular
346243972,created_by,Potlatch 0.10f,regular
346248556,name,Café e Bar Vila Viçosa,regular
346248556,amenity,pub,regular
346248556,housenumber,143G,addr
346252391,name,Banco 24 Horas,regular
346252391,amenity,atm,regular
346252391,created_by,Potlatch 0.10f,regular
348156861,highway,traffic_signals,regular
348156861,crossing,traffic_signals,regular
348173731,source,Bing,regular
348173731,highway,traffic_signals,regular
349258900,barrier,gate,regular
349298588,highway,crossing,regular
349298588,crossing,traffic_signals,regular
349304678,highway,crossing,regular
349304678,crossing,traffic_signals,regular
349304983,highway,traffic_signals,regular
349306670,highway,traffic_signals,regular
349314046,traffic_calming,bump,regular
349337999,highway,traffic_signals,regular
349338296,highway,traffic_signals,regular
349338441,highway,speed_camera,regular
349338441,maxspeed,60,regular
349344956,highway,traffic_signals,regular
349347467,traffic_calming,bump,regular
349347518,traffic_calming,bump,regular
349347529,highway,crossing,regular
349352485,highway,traffic_signals,regular
353488790,source,IBGE,regular
353493090,source,IBGE,regular
353632618,source,IBGE,regular
365739896,amenity,fast_food,regular
365741177,name,Skol,regular
365741177,amenity,fast_food,regular
365743940,name,Zona Sul,regular
365743940,shop,supermarket,regular
365743940,city,Rio de Janeiro,addr
365743940,street,Avenida Atlântica,addr
365743940,country,BR,addr
365743940,phone,+55-21-25426949,contact
365743940,opening_hours,Mo-Su 06:00-22:00,regular
365743940,website,http://www.zonasul.com.br/,contact
365743940,housenumber,866,addr
374204209,man_made,tower,regular
374204209,type,communication,tower
374393886,railway,level_crossing,regular
374805148,railway,level_crossing,regular
376227401,highway,crossing,regular
376227401,crossing,zebra,regular
378651147,highway,turning_circle,regular
378666929,source,survey,regular
378666929,bicycle,yes,regular
378666929,highway,crossing,regular
378666929,crossing,traffic_signals,regular
378675501,source,survey,regular
378675501,highway,crossing,regular
378675501,wheelchair,yes,regular
378701568,source,Bing,regular
378701568,bicycle,yes,regular
378701568,highway,crossing,regular
378701568,crossing,traffic_signals,regular
383287190,name,Estaleiro MacLaren,regular
383287190,place,locality,regular
386279847,ele,28,regular
386279847,name,Morro das Pedreiras,regular
386279847,source,IPP,regular
386279847,natural,peak,regular
400705912,traffic_calming,bump,regular
401621555,foot,yes,regular
401621555,barrier,lift_gate,regular
401621555,bicycle,yes,regular
401621555,motorcar,yes,regular
401621555,motorcycle,yes,regular
402293688,highway,traffic_signals,regular
412272166,fee,yes,regular
412272166,amenity,toilets,regular
412272166,wheelchair,yes,regular
412272166,opening_hours,07:00-19:00,regular
412280892,fee,yes,regular
412280892,amenity,toilets,regular
412280952,fee,yes,regular
412280952,layer,-1,regular
412280952,amenity,toilets,regular
412310724,url,http://www.copacabanapraiahotel.com.br/,regular
412310724,name,Copacabana Praia Hotel,regular
412310724,stars,4,regular
412310724,tourism,hotel,regular
412310724,city,Rio de Janeiro,addr
412310724,state,RJ,addr
412310724,street,Rua Francisco Otaviano,addr
412310724,country,BR,addr
412310724,housenumber,30,addr
415826505,phone,+55-21-25303808,regular
415826505,source,survey,regular
415826505,amenity,telephone,regular
415826505,operator,Oi,regular
415826505,telephone_cards,yes,payment
415826521,name,Cardioclínica,regular
415826521,amenity,doctors,regular
415833895,amenity,fast_food,regular
416165996,name,Amaro,regular
416165996,shop,hairdresser,regular
416165996,city,Rio de Janeiro,addr
416165996,street,Rua Professor Álvaro Rodrigues,addr
416165996,country,BR,addr
416165996,housenumber,170b,addr
416166007,city,Rio de Janeiro,addr
416166007,street,Rua Voluntários Da Pátria,addr
416166007,country,BR,addr
416166007,housenumber,Edifício José Luiz Ferraz,addr
416166018,name,Manoel Thomaz de Carvalho Britto,regular
416166018,historic,monument,regular
416166038,name,Sociedade Brasileira de Anestesiologia,regular
416166038,street,Rua Professor Alfredo Gomes,addr
416166048,name,Café e Bar 31,regular
416166048,amenity,bar,regular
416166048,city,Rio de Janeiro,addr
416166048,street,Rua Voluntários Da Pátria,addr
416166048,country,BR,addr
416166048,housenumber,31,addr
416645400,name,Ibituporanga,regular
416645400,place,village,regular
416645400,source,IBGE,regular
416645400,IBGE:GEOCODIGO,330200715,regular
416645469,name,Governador Portela,regular
416645469,place,village,regular
416645469,source,IBGE,regular
416645469,IBGE:GEOCODIGO,330290810,regular
416657201,name,Paes Leme,regular
416657201,place,hamlet,regular
416657201,source,IBGE,regular
416657216,name,Demétrio Ribeiro,regular
416657216,place,hamlet,regular
416657216,source,IBGE,regular
416969457,name,Toca do Biscoito,regular
416969457,amenity,fast_food,regular
416979554,name,Pane & Dolce,regular
416979554,amenity,restaurant,regular
418044481,url,http://www.cursofreitasribeiro.com.br/,regular
418044481,name,Curso Freitas Ribeiro,regular
418044481,amenity,school,regular
418044481,city,Rio de Janeiro,addr
418044481,street,Rua Voluntários Da Pátria,addr
418044481,country,BR,addr
418044481,housenumber,147,addr
418044535,city,Rio de Janeiro,addr
418044535,street,Rua Paulino Fernandes,addr
418044535,country,BR,addr
418044535,housenumber,35,addr
422077020,url,http://www.hostelflamengo.com.br/,regular
422077020,name,Hostel Flamengo,regular
422077020,tourism,hostel,regular
422077020,city,Rio de Janeiro,addr
422077020,street,Rua Silveira Martins,addr
422077020,country,BR,addr
422077020,postcode,22221-000,addr
422077020,housenumber,183,addr
427855399,source,survey,regular
427855399,city,Rio de Janeiro,addr
427855399,street,Rua Do Catete,addr
427855399,country,BR,addr
427855399,postcode,22220-000,addr
427855399,housenumber,99,addr
428041665,source,survey,regular
428041665,city,Rio de Janeiro,addr
428041665,street,Rua Buarque De Macedo,addr
428041665,country,BR,addr
428041665,postcode,22220-030,addr
428041665,housenumber,87,addr
428074264,street,Rua Machado De Assis,addr
428074264,postcode,22220-060,addr
428074264,housenumber,79,addr
428074275,street,Rua Barão Do Flamengo,addr
428074275,postcode,22220-080,addr
428074275,housenumber,35,addr
428074285,street,Praia Do Flamengo,addr
428074285,postcode,22210-030,addr
428074285,housenumber,344,addr
428074295,street,Avenida Oswaldo Cruz,addr
428074295,postcode,22280-060,addr
428074295,housenumber,4,addr
428670065,street,Avenida Oswaldo Cruz,addr
428670065,postcode,22280-060,addr
428670065,housenumber,68,addr
428670076,street,Rua Senador Vergueiro,addr
428670076,postcode,22230-000,addr
428670076,housenumber,215,addr
428670086,street,Rua Marquês De Paraná,addr
428670086,postcode,22230-030,addr
428670086,housenumber,41,addr
428670097,street,Travessa Dos Tamoios,addr
428670097,postcode,22230-050,addr
428670097,housenumber,7,addr
428670107,street,Rua Senador Vergueiro,addr
428670107,postcode,22230-000,addr
428670107,housenumber,40,addr
428670117,street,Rua Do Catete,addr
428670117,postcode,22220-001,addr
428670117,housenumber,347,addr
428670128,street,Rua Do Catete,addr
428670128,postcode,22220-001,addr
428670128,housenumber,238,addr
430561790,street,Rua Leite Leal,addr
430561790,postcode,22240-100,addr
430561790,housenumber,45,addr
430962902,street,Rua Soares Cabral,addr
430962902,postcode,22240-070,addr
430962902,housenumber,6,addr
430962912,street,Rua Ipiranga,addr
430962912,postcode,22231-120,addr
430962912,housenumber,132,addr
430962922,street,Rua Paissandu,addr
430962922,postcode,22210-080,addr
430962922,housenumber,122,addr
430962934,source,survey,regular
430962934,amenity,telephone,regular
430962934,operator,Oi,regular
430962934,telephone_cards,yes,payment
430992403,name,Tribunal Regional do Trabalho,regular
430992403,building,yes,regular
430992403,street,Rua Maestro Felício Toledo,addr
430992403,postcode,24030-107,addr
430992403,housenumber,548,addr
430992413,street,Rua Da Conceição,addr
430992413,postcode,24020-086,addr
430992413,housenumber,159,addr
430992423,name,Estácio de Sá,regular
430992423,amenity,university,regular
430992423,street,Rua Da Conceição,addr
430992433,name,Vanitar,regular
430992433,shop,clothes,regular
430992433,street,Rua Da Conceição,addr
430992443,name,Ponto Frio,regular
430992443,shop,electronics,regular
430992443,street,Rua Da Conceição,addr
430992453,name,Correios,regular
430992453,amenity,post_office,regular
430992453,street,Rua Da Conceição,addr
430992453,housenumber,29,addr
430992463,name,Galeria Paz,regular
430992463,street,Rua Da Conceição,addr
430992463,suburb,Centro,addr
430992463,housenumber,17,addr
431013477,name,Edifício Michigan,regular
431013477,building,yes,regular
431013487,name,Edifício Valeria,regular
431013487,building,yes,regular
431013487,housenumber,109,addr
431013531,name,Eleven Years,regular
431013531,shop,clothes,regular
431013545,name,Edifício Atta,regular
431013545,building,yes,regular
431013545,housenumber,11,addr
431013572,shop,garden_centre,regular
431013572,source,survey,regular
431013584,name,Shopping Matriz,regular
431013584,shop,furniture,regular
431013584,source,survey,regular
431013584,website,http://www.shoppingmatriz.com.br/,regular
431013584,city,Rio de Janeiro,addr
431013584,street,Rua Do Catete,addr
431013584,country,BR,addr
431013584,postcode,22220-000,addr
431013584,housenumber,227,addr
431013594,name,Graça da Villa,regular
431013594,phone,+55-21-22257949; +55-21-22256007,regular
431013594,source,survey,regular
431013594,amenity,restaurant,regular
431013594,website,http://www.gracadavila.com.br/catete.html,regular
431013594,city,Rio de Janeiro,addr
431013594,street,Rua Do Catete,addr
431013594,country,BR,addr
431013594,postcode,22220-000,addr
431013594,housenumber,133,addr
431013624,phone,+55-21-22055747,regular
431013624,source,survey,regular
431013624,amenity,pharmacy,regular
431013624,city,Rio de Janeiro,addr
431013624,street,Rua Pedro Américo,addr
431013624,country,BR,addr
431013624,postcode,22211-200,addr
431013624,housenumber,116A,addr
431241467,street,Rua Do Catete,addr
431241467,postcode,22220-001,addr
431241467,housenumber,234,addr
431241477,name,York,regular
431241477,shop,hairdresser,regular
431241477,street,Rua Do Catete,addr
431241477,postcode,22220-000,addr
431241477,housenumber,180,addr
431241499,street,Ladeira Da Glória,addr
431241499,postcode,22211-120,addr
431241499,housenumber,99,addr
431241509,street,Rua Santo Amaro,addr
431241509,postcode,22211-230,addr
431241509,housenumber,325,addr
431750099,street,Rua Da Glória,addr
431750099,postcode,20241-180,addr
431750099,housenumber,374,addr
431750117,amenity,telephone,regular
431750117,telephone_cards,yes,payment
431750140,name,Palácio das Lonas,regular
431750140,shop,furniture,regular
431750166,name,Espaço Ideal,regular
431750166,shop,furniture,regular
431750195,name,Restaurante Badalado,regular
431750195,amenity,pub,regular
434943443,source,survey,regular
434943443,highway,traffic_signals,regular
440358424,highway,crossing,regular
440358424,crossing,traffic_signals,regular
440358424,crossing_ref,zebra,regular
442043842,highway,traffic_signals,regular
442049771,highway,traffic_signals,regular
442052970,highway,crossing,regular
442129764,highway,crossing,regular
442358929,highway,traffic_signals,regular
442359574,highway,traffic_signals,regular
442519189,highway,give_way,regular
444615548,highway,mini_roundabout,regular
448709913,name,Restaurante Nova República,regular
448709913,source,survey,regular
448709913,amenity,restaurant,regular
448709913,street,Avenida Mem De Sá,addr
448709913,housenumber,194,addr
448710021,source,survey,regular
448710021,highway,traffic_signals,regular
448710021,crossing,traffic_signals,regular
448710104,source,survey,regular
448710104,street,Avenida Mem De Sá,addr
448710104,housenumber,132,addr
448775218,name,Só Fofas,regular
448775218,shop,clothes,regular
448775218,street,Rua General Pereira Da Silva,addr
448775218,postcode,24220-031,addr
448786361,name,desordem,regular
448786361,amenity,pub,regular
448811935,name,Barbieri Botequim,regular
448811935,source,survey,regular
448811935,amenity,pub,regular
448811935,street,Avenida Mem De Sá,addr
448811935,housenumber,92,addr
448811947,highway,traffic_signals,regular
448811947,crossing,traffic_signals,regular
448811960,source,survey,regular
448811960,street,Avenida Mem De Sá,addr
448811960,housenumber,69,addr
448816569,source,survey,regular
448816569,highway,traffic_signals,regular
448816601,housenumber,404,addr
450707557,source,survey,regular
450707557,highway,traffic_signals,regular
450707557,crossing,traffic_signals,regular
450799245,source,survey,regular
450799245,street,Avenida Mem De Sá,addr
450799245,housenumber,334,addr
450799256,fee,yes,regular
450799256,source,survey,regular
450799256,amenity,parking,regular
450799256,parking,surface,regular
450799277,amenity,telephone,regular
450799277,telephone_cards,yes,payment
452638346,name,BOB's,regular
452638346,amenity,fast_food,regular
452654175,name,Ibeu,regular
452654175,type,languages,regular
452654175,amenity,school,regular
452657778,name,Péd'art,regular
452657778,shop,shoes,regular
452657799,amenity,dentist,regular
452657799,street,Rua Do Catete,addr
452657799,housenumber,202,addr
452657825,amenity,dentist,regular
452867519,name,Viagens Tia Tânia,regular
452867519,shop,travel_agency,regular
452867519,street,Rua Presidente Backer,addr
452867519,postcode,24220-045,addr
453560875,highway,traffic_signals,regular
453564364,highway,traffic_signals,regular
454457358,source,survey,regular
454457358,highway,traffic_signals,regular
454457358,crossing,uncontrolled,regular
454457369,street,Rua Ipiranga,addr
454457369,postcode,22231-120,addr
454457369,housenumber,33,addr
454457380,source,survey,regular
454457380,city,Rio de Janeiro,addr
454457380,street,Rua Eugênio Hussek,addr
454457380,country,BR,addr
454457380,housenumber,22,addr
