id,key,value,type
4217307,name,Avenida Francisco Bhering,regular
4217307,highway,pedestrian,regular
4217307,motorcar,permissive,regular
4217307,motorcycle,permissive,regular
5136166,lit,yes,regular
5136166,name,Rua Silveira Martins,regular
5136166,lanes,1,regular
5136166,oneway,yes,regular
5136166,source,Yahoo; survey,regular
5136166,highway,residential,regular
5136166,surface,asphalt,regular
5136166,old_name,Rua Bela do Príncipe do Catete;Rua do Príncipe,regular
5136166,postal_code,22221-000,regular
5136166,parking:lane:left,inline,regular
5136166,parking:lane:right,no_parking,regular
5381500,lit,yes,regular
5381500,name,Rua Ipiranga,regular
5381500,lanes,1,regular
5381500,oneway,yes,regular
5381500,highway,residential,regular
5381500,surface,asphalt,regular
5381500,maxspeed,40,regular
5381500,old_name,Rua Ypiranga,regular
5381500,postal_code,22231-120,regular
5381500,parking:lane:both,inline,regular
5382543,lit,yes,regular
5382543,name,Rua Álvaro Chaves,regular
5382543,lanes,1,regular
5382543,oneway,yes,regular
5382543,source,Yahoo; survey,regular
5382543,highway,residential,regular
5382543,surface,asphalt,regular
5382543,maxspeed,40,regular
5382543,postal_code,22231-220,regular
5382543,parking:lane:left,inline,regular
5382543,parking:lane:right,no_parking,regular
5382543,parking:condition:left,free,regular
10741798,name,Avenida Dom Pedro I,regular
10741798,oneway,no,regular
10741798,highway,tertiary,regular
10938433,name,Ilha de Pancaraíba,regular
10938433,place,islet,regular
10938433,source,Yahoo,regular
10938433,natural,coastline,regular
10938433,boundary,administrative,regular
10938433,admin_level,8,regular
10938619,source,PGS,regular
10938619,waterway,riverbank,regular
10938619,converted_by,mikes,regular
10939096,source,PGS;Bing,regular
10939096,natural,coastline,regular
10939096,converted_by,mikes,regular
10939470,name,Ilha Comprida,regular
10939470,place,islet,regular
10939470,source,Yahoo,regular
10939470,natural,coastline,regular
10939470,boundary,administrative,regular
10939470,admin_level,8,regular
11409165,foot,yes,regular
11409165,name,Rua 16 de Março,regular
11409165,oneway,yes,regular
11409165,highway,tertiary,regular
11409165,surface,asphalt,regular
11979390,name,Avenida Tiradentes,regular
11979390,oneway,yes,regular
11979390,highway,tertiary,regular
12291130,ref,J,regular
12291130,aeroway,taxiway,regular
12291218,ref,D,regular
12291218,aeroway,taxiway,regular
12291258,ref,W,regular
12291258,aeroway,taxiway,regular
12968969,name,Rua Barão do Amazonas,regular
12968969,oneway,yes,regular
12968969,highway,tertiary,regular
13004812,name,Rua Cuba,regular
13004812,oneway,yes,regular
13004812,highway,tertiary,regular
13046457,oneway,yes,regular
13046457,highway,primary_link,regular
13078700,name,Rua Doctor Napoleão Laureano,regular
13078700,highway,residential,regular
13083301,name,Rua Silva Jardim,regular
13083301,oneway,yes,regular
13083301,highway,tertiary,regular
13089078,name,Avenida Sete de Abril,regular
13089078,oneway,yes,regular
13089078,highway,primary,regular
13247415,name,Estrada de São Lorenzo,regular
13247415,oneway,no,regular
13247415,highway,tertiary,regular
13258506,oneway,yes,regular
13258506,highway,motorway_link,regular
13258506,destination,Linha Vermelha;São João de Meriti,regular
13783026,name,Rua Felippo Gelli,regular
13783026,highway,residential,regular
13783026,created_by,Potlatch 0.5c,regular
13856832,highway,residential,regular
13856832,name,Rua Salvador da Costa Alves,regular
13865798,ref,BR-116,regular
13865798,oneway,yes,regular
13865798,highway,motorway_link,regular
13865798,surface,paved,regular
13865953,name,Rodovia Washington Luiz - Pista Lateral,regular
13865953,oneway,yes,regular
13865953,highway,primary,regular
14033368,name,Rua Hivio Maliato,regular
14033368,highway,residential,regular
14033368,created_by,Potlatch 0.5d,regular
14038512,name,Estrada Luiz Gomez da Silva,regular
14038512,highway,tertiary,regular
14327904,name,Rua Paula Ramos,regular
14327904,oneway,no,regular
14327904,highway,residential,regular
14466875,lit,yes,regular
14466875,foot,yes,regular
14466875,name,Avenida Epitácio Pessoa,regular
14466875,lanes,3,regular
14466875,oneway,yes,regular
14466875,source,Yahoo;survey,regular
14466875,highway,trunk,regular
14466875,surface,asphalt,regular
14466875,destination,Para Tijuca e Avenida Brasil,regular
14466875,parking:lane:both,no_stopping,regular
14484065,lit,yes,regular
14484065,oneway,yes,regular
14484065,highway,trunk_link,regular
